CMCSA,CMCSK
20,18.92
19.77,18.85
20.39,19.33
19.87,18.91
19.74,18.73
18.51,17.59
18.36,17.48
18.03,17.12
18.08,17.3
18.18,17.39
17.76,17.02
17.6,16.88
18.1,17.27
17.69,16.94
17.58,16.77
16.79,16.03
17.03,16.24
16.77,16.06
17.67,16.86
17.72,17.02
18.33,17.46
18.09,17.22
18.02,17.12
18.38,17.4
18.4,17.45
17.79,16.85
17.36,16.46
17.43,16.49
17.42,16.5
18.07,17.13
18.19,17.28
18.15,17.27
18.65,17.69
18.39,17.42
18.58,17.62
18.51,17.58
18.35,17.41
18.24,17.27
18.18,17.18
17.82,16.85
17.67,16.7
18.11,17.07
17.68,16.62
17.37,16.43
17.74,16.69
17.46,16.48
17.8,16.63
17.84,16.69
17.84,16.81
18.07,17.04
18.51,17.45
19.02,18
18.98,18.02
19.31,18.22
18.54,17.52
19.01,17.97
18.86,17.86
18.35,17.35
18.82,17.82
19.32,18.23
19.47,18.38
19.33,18.26
19.56,18.49
19.13,18.09
19.47,18.46
19.48,18.35
19.21,18.1
19.23,18.15
18.94,17.87
18.64,17.56
18.73,17.56
18.61,17.5
18.01,16.96
18.17,17.09
17.87,16.78
17.75,16.66
17.76,16.72
18.11,17.04
17.84,16.73
17.81,16.74
17.45,16.4
17.01,15.98
17.33,16.27
17.03,16.03
17.25,16.24
17,15.98
17.1,16.08
17.94,16.89
18.08,16.97
18.21,17.13
17.8,16.73
17.92,16.89
17.98,16.9
18.4,17.37
18.42,17.38
17.79,16.78
18.04,16.94
17.57,16.49
17.64,16.62
18.1,17
18.13,17.06
17.95,16.85
17.92,16.87
18.57,17.48
18.31,17.26
18.34,17.31
18.15,17.08
18.08,17.01
17.82,16.76
17.66,16.62
18.07,17.01
17.76,16.76
17.89,16.88
17.99,16.95
18.02,17.04
18.02,17.07
18.14,17.16
18.38,17.38
18.95,17.87
19.01,17.91
19.11,18.01
19.38,18.26
19.51,18.37
19.46,18.25
19.77,18.63
19.64,18.55
20.27,19.11
20.86,19.59
20.63,19.36
20.5,19.27
20.68,19.46
20.67,19.49
21.06,19.88
21.04,19.86
20.91,19.71
20.77,19.58
20.73,19.48
20.68,19.42
20.43,19.18
20.59,19.37
20.26,19.11
20.39,19.24
20.57,19.42
20.56,19.39
20.4,19.24
20.15,19.01
20.38,19.24
20.22,19.13
20.21,19.1
20.04,18.97
20.83,19.64
20.72,19.64
20.71,19.59
20.6,19.51
20.79,19.63
20.79,19.67
20.85,19.71
21.31,20.06
21.32,20.14
21.99,20.7
21.61,20.32
21.65,20.24
21.42,20.06
21.93,20.56
22.25,20.91
22.2,20.83
22.18,20.85
22.1,20.72
22.08,20.7
21.95,20.63
22.08,20.78
21.97,20.81
22.37,21.07
22.44,21.11
22.74,21.52
22.76,21.49
22.7,21.41
22.72,21.51
22.6,21.36
22.53,21.26
22.54,21.24
22.72,21.34
22.78,21.48
23.1,21.61
23.26,21.92
23.53,22.11
23.6,22.14
23.34,21.89
23.32,21.87
23.31,21.89
22.84,21.46
22.75,21.44
23.4,21.95
23.07,21.72
23.21,21.85
23.27,21.95
23.54,22.19
23.66,22.25
23.53,22.16
23.78,22.33
24,22.6
23.87,22.45
24.16,22.61
25.13,23.74
25.22,23.9
25.67,24.18
25.13,23.71
24.88,23.49
24.94,23.59
25.26,23.94
25.76,24.32
25.28,23.98
25.07,23.71
25.77,24.33
25.55,24.08
25.42,24.02
25.56,24.1
25.31,23.98
24.72,23.34
24.95,23.53
24.49,23.04
24.16,22.72
23.44,22.1
24.08,22.65
23.86,22.42
24.17,22.68
24.06,22.61
24.1,22.65
24.73,23.23
25.02,23.54
24.43,23.02
24.52,23.07
24.7,23.18
24.72,23.22
25.21,23.59
25.26,23.67
25.16,23.65
24.83,23.34
24.64,23.23
24.68,23.25
24.55,23.14
24.31,22.91
24.2,22.81
24.25,22.9
24.49,23.07
23.96,22.59
24.29,22.86
24.87,23.29
25.34,23.74
25.29,23.78
25.59,24
25.84,24.2
26.13,24.47
26.21,24.55
26.68,24.98
26.61,24.91
25.96,24.38
25.56,24.07
25.44,23.95
25.28,23.77
25.82,24.26
25.51,24.04
25.44,23.94
25.13,23.66
24.71,23.33
25.02,23.51
25.37,23.87
25.38,23.89
25.12,23.71
24.55,23.15
24.39,22.95
24.44,22.96
24.93,23.51
24.89,23.43
25.24,23.55
24.44,22.99
24.63,23.23
24.23,22.84
23.92,22.57
24.02,22.66
24.12,22.77
24.31,22.94
23.89,22.61
23.71,22.39
23.93,22.59
23.46,22.17
23.44,22.18
23.65,22.42
23.69,22.54
24.05,22.86
23.92,22.82
23.71,22.63
23.58,22.5
24.27,23.02
24.76,23.55
24.94,23.79
25.34,24.23
25.73,24.6
25.97,24.87
25.49,24.55
25.58,24.51
25.51,24.48
25.03,24.13
24.62,23.88
24.57,23.8
24.43,23.63
24.13,23.36
23.94,23.19
24.47,23.7
24.09,23.44
24.58,23.87
24.85,24.07
25.03,24.18
25.24,24.33
24.66,23.9
24.17,23.56
24.02,23.34
23.85,23.14
22.73,22.08
22.77,22.19
21.8,21.22
21.88,21.23
20.43,19.84
20.71,20.16
19.78,19.36
20.59,20.23
20.64,20.3
21.27,20.92
21.22,20.94
21.33,21.02
20.28,20.07
19.96,19.8
19.78,19.58
20.06,19.81
20.57,20.3
20.23,20.04
20.57,20.37
21.24,20.98
21.32,21.01
21.51,21.15
21.62,21.45
21,20.8
20.71,20.52
21.39,21.2
21.42,21.07
20.91,20.53
21.14,20.76
21.84,21.51
21.98,21.74
22.61,22.34
22.94,22.62
22.86,22.6
22.72,22.4
21.86,21.61
21.02,20.76
21.4,21.12
21.9,21.65
22.33,22.07
22,21.69
21.69,21.43
20.92,20.72
20.36,20.17
21.17,20.94
21.63,21.44
22.09,21.93
22.06,21.85
23.05,22.81
22.98,22.8
